44 Scotland Street,Alexander McCall Smith,Fiction Cultural Scotland Mystery Contemporary Humor,June 14th 2005,325,Anchor,English,1400079446,9781400079445,https://www.goodreads.com/book/show/97875.44_Scotland_Street,
The Round House,Louise Erdrich,Fiction Mystery Historical Historical Fiction Young Adult Coming Of Age,October 2nd 2012,323,HarperCollins,English,0062065246,9780062065247,https://www.goodreads.com/book/show/13602426-the-round-house,
Silence,Becca Fitzpatrick,Young Adult Fantasy Paranormal Romance Fantasy Romance Paranormal Romance,October 4th 2011,448,Simon & Schuster Books for Young Readers,English,1442426640,9781442426641,https://www.goodreads.com/book/show/10637766-silence,
Spell Bound,Rachel Hawkins,Young Adult Fantasy Fantasy Paranormal Fantasy Magic Romance Paranormal Vampires,March 13th 2012,327,Hyperion Book CH,English,1423121325,9781423121329,https://www.goodreads.com/book/show/11454587-spell-bound,
A Long Way Down,Nick Hornby,Fiction Contemporary Humor European Literature British Literature,May 2nd 2006,368,Riverhead Books,English,1594481938,9781594481932,https://www.goodreads.com/book/show/10073.A_Long_Way_Down,
Crank,Ellen Hopkins,Young Adult Poetry Fiction Contemporary,October 1st 2004,537,Margaret K. McElderry Books,English,0689865198,9780689865190,https://www.goodreads.com/book/show/270730.Crank,
Born to Run: A Hidden Tribe; Superathletes; and the Greatest Race the World Has Never Seen,Christopher McDougall,Nonfiction Sports and Games Sports Health Sports Fitness Adventure,May 5th 2009,287,Knopf,English,0307266303,9780307266309,https://www.goodreads.com/book/show/6289283-born-to-run,
Magic Bites,Ilona Andrews,Fantasy Urban Fantasy Fantasy Fantasy Paranormal Paranormal Vampires Fantasy Magic Romance,April 2007,260,Berkley Publishing Group,English,0441014895,9780441014897,https://www.goodreads.com/book/show/38619.Magic_Bites,
Divergent,Veronica Roth,Young Adult Science Fiction Dystopia Fiction Fantasy Science Fiction,April 25th 2011,487,Katherine Tegen Books,English,0062024027,9780062024022,https://www.goodreads.com/book/show/8306857-divergent,
Slave: My True Story,Mende Nazer Damien Lewis,Nonfiction Cultural Africa Biography Autobiography Memoir Biography Autobiography,April 27th 2005,368,PublicAffairs,English,1586483188,9781586483180,https://www.goodreads.com/book/show/178460.Slave,
The Lowland,Jhumpa Lahiri,Fiction Cultural India Historical Historical Fiction Literary Fiction,September 24th 2013,340,Knopf,English,0307265749,9780307265746,https://www.goodreads.com/book/show/17262100-the-lowland,
Prey,Michael Crichton,Fiction Science Fiction Thriller,November 11th 2003,507,Avon,English,0061015725,9780061015724,https://www.goodreads.com/book/show/83763.Prey,
The Twelve,Justin Cronin,Horror Fiction Science Fiction Fantasy Apocalyptic Post Apocalyptic Paranormal Vampires,October 16th 2012,568,The Random House Publishing Group,English,0345504984,9780345504982,https://www.goodreads.com/book/show/13281368-the-twelve,
Shakespeare: The World as Stage,Bill Bryson,Nonfiction Biography Historical Audiobook Humor,November 1st 2007,199,HarperCollinsPublishing,English,0060740221,9780060740221,https://www.goodreads.com/book/show/135611.Shakespeare,
Forbidden,Tabitha Suzuma,Romance Contemporary Young Adult Realistic Fiction,May 27th 2010,418,Definitions,English,1862308160,9781862308169,https://www.goodreads.com/book/show/7600924-forbidden,
Chronicles; Volume One,Bob Dylan,Music Nonfiction Biography Autobiography Memoir Biography Autobiography,September 13th 2005,293,Simon & Schuster,English,0743244583,9780743244589,https://www.goodreads.com/book/show/14318.Chronicles_Volume_One,
The Pickup,Nadine Gordimer,Fiction Cultural Africa Southern Africa South Africa Novels Contemporary,September 24th 2002,288,Penguin Books,,,9780142001424,https://www.goodreads.com/book/show/96334.The_Pickup,
The Weight of Silence,Heather Gudenkauf,Fiction Mystery Suspense Contemporary,July 28th 2009,373,Mira,English,077832740X,9780778327400,https://www.goodreads.com/book/show/6335026-the-weight-of-silence,
Thinking; Fast and Slow,Daniel Kahneman,Psychology Nonfiction Science Economics Self Help Business,October 25th 2011,418,Farrar; Straus and Giroux,English,0374275637,9780374275631,https://www.goodreads.com/book/show/11468377-thinking-fast-and-slow,
The Raven Boys,Maggie Stiefvater,Fantasy Young Adult Fantasy Paranormal Romance,July 30th 2013,408,Scholastic Inc.,English,0545424933,9780545424936,https://www.goodreads.com/book/show/13449693-the-raven-boys,
